Fname,Content_Transfer_Encoding_field,Content_Type,Received_SPF,DKIM,X_Mailer_exists,From_count_addresses,From_header_missing,From_has_title,From_dn_exists,From_DN_whitespaces,FROM_DOMAIN_EQUAL_MESSAGEID_DOMAIN,FROM_DOMAIN_EQUAL_TO_DOMAIN,From_DN_has_nonascii,From_address_equal_reply_address,From_address_equal_to_address,From_DN_count_special_chars,Reply_TO_empty,Reply_TO_questionmark,To_count_addresses,To_undisclosed,To_empty,BCC_count_recepients,Cc_count_recepients,Subject_special_chars,Total_emailadresses,Label
1049201555.1894_4245.txt,0,1,5,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,2,1
1049202237.1894_4250.txt,0,0,5,0,1,1,0,0,1,1,1,0,0,1,0,2,1,0,1,0,0,0,0,1,2,1
1049202252.1894_4261.txt,0,3,5,0,1,1,0,0,1,1,0,0,0,1,0,2,1,0,3,0,0,0,0,1,4,1
1049202259.1894_4273.txt,0,3,5,0,1,1,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,2,1
1049202261.1894_4279.txt,0,3,5,0,1,1,0,0,1,1,0,0,0,1,0,2,1,0,3,0,0,0,0,1,4,1
1049205463.1894_4323.txt,0,1,5,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,12,0,2,1
1049217315.1894_4330.txt,0,0,5,0,1,1,0,0,1,0,1,0,0,1,0,2,1,0,1,0,0,0,0,1,2,1
1049218456.1894_4333.txt,0,1,5,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,2,1
1049222479.2157_2.txt,0,1,5,0,0,1,0,0,1,2,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2,1
1049222514.2172_105.txt,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,1
1049222514.2172_109.txt,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,1
1049222514.2172_111.txt,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,1
1049222514.2172_113.txt,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,1
1049222514.2172_115.txt,0,0,5,0,0,1,0,0,1,2,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,1
1049222514.2172_123.txt,0,1,5,0,1,1,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,2,1
1049222514.2172_127.txt,0,3,5,0,0,1,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,2,1
1049222514.2172_129.txt,0,3,5,0,1,1,0,0,1,1,0,0,0,1,0,2,1,0,4,0,0,0,0,1,5,1
1049222514.2172_131.txt,0,3,5,0,1,1,0,0,1,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2,1
1049222514.2172_135.txt,0,1,5,0,0,1,0,0,1,1,1,0,0,1,0,2,1,0,1,0,0,0,0,1,2,1
1049222514.2172_141.txt,0,3,5,0,1,1,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,0,0,1,2,1
1049222514.2172_145.txt,0,1,5,0,1,1,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,2,1
1049222514.2172_149.txt,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
1049222514.2172_151.txt,0,1,5,0,1,1,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,2,1
1049222514.2172_153.txt,0,3,5,0,1,1,0,0,1,1,0,0,0,1,0,2,1,0,1,0,0,0,0,1,2,1
1049222514.2172_157.txt,0,3,5,0,0,1,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,2,1
1049222514.2172_159.txt,0,1,5,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1
1049222514.2172_165.txt,0,1,5,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,1
1049222514.2172_95.txt,0,0,5,0,0,1,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,1,1
1049222514.2172_99.txt,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,1
1049233491.1894_4360.txt,0,1,5,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,2,1
1049234287.1894_4363.txt,0,5,5,0,1,1,0,0,1,1,0,1,0,0,0,2,1,0,1,0,0,0,0,1,2,1
1049237006.6984_2.txt,0,3,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,1
1049237438.7115_5.txt,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,1
